OM_CENTRALIZADA_ID,OM_CENTRALIZADORA_ID,TIPO_CENTRALIZACAO_ID,DATA_INICIO,DATA_FIM
88701,88000,1.0,2010-03-01 00:00:00.000,2021-05-25 00:00:00.000
73000,71000,4.0,2011-10-01 00:00:00.000,2026-01-01 00:00:00
11500,71000,4.0,2011-10-01 00:00:00.000,2026-01-01 00:00:00
76000,71000,4.0,2011-10-01 00:00:00.000,2026-01-01 00:00:00
83100,83800,1.0,2009-07-01 00:00:00.000,2026-01-01 00:00:00
83810,83800,1.0,2009-07-01 00:00:00.000,2026-01-01 00:00:00
83510,83800,1.0,2009-07-01 00:00:00.000,2026-01-01 00:00:00
86000,86800,1.0,2009-10-01 00:00:00.000,2026-01-01 00:00:00
86700,86800,1.0,2009-10-01 00:00:00.000,2026-01-01 00:00:00
86810,86800,1.0,2009-10-01 00:00:00.000,2026-01-01 00:00:00
86310,86800,1.0,2009-10-01 00:00:00.000,2026-01-01 00:00:00
86510,86800,1.0,2009-10-01 00:00:00.000,2026-01-01 00:00:00
81331,62300,1.0,2009-11-01 00:00:00.000,2026-01-01 00:00:00
85330,85000,1.0,2009-12-01 00:00:00.000,2026-01-01 00:00:00
85100,85200,1.0,2009-12-01 00:00:00.000,2026-01-01 00:00:00
85900,85400,1.0,2009-12-01 00:00:00.000,2026-01-01 00:00:00
85510,85400,1.0,2009-12-01 00:00:00.000,2026-01-01 00:00:00
85340,85340,1.0,2010-08-03 00:00:00.000,2026-01-01 00:00:00
88310,88000,1.0,2010-04-01 00:00:00.000,2026-01-01 00:00:00
65708,51212,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
65706,65706,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
89300,89300,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
33100,33100,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
83401,83401,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
44030,44030,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
82700,82700,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
83701,83701,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
32100,32100,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
82200,82200,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
85342,85342,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
81401,81401,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
83000,83000,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
62200,62200,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
71210,71210,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
